Name,Description,Course,Prerequisites,Credits,Hub Unit(s),Section(s),Professor(s)
CAS AA 103,"What is the African American literary tradition? In this course, we will read   poetry, slave narratives, essays, speeches, tales, short stories, and novels and   consider how culture, politics, and history shape African American literature.   Carries humanities divisional credit in CAS.  Effective Fall 2018,  this course fulfills a  single unit in each of the  following BU Hub areas: Aesthetic  Exploration,  Global Citizenship and  Intercultural Literacy. Effective Fall 2019, this   course fulfills a single unit in each of the  following BU Hub areas: Aesthetic   Exploration, Global Citizenship and  Intercultural Literacy, Critical Thinking. Effective Fall 2022, this course  fulfills a single unit in each of the following BU Hub areas: Writing-Intensive  Course, Global Citizenship and Intercultural Literacy, Critical Thinking.",Introduction to African American Literature,Prereq: First-Year Writing Seminar (WR 120 or equivalent),[  4 cr.],"['Global Citizenship and Intercultural Literacy', 'Critical Thinking', 'Writing-Intensive Course', 'BU Hub Pathway:\xa0\xa0Social & Racial Justice']","{'A1': {'instructor': 'Maryanne Boelcskevy', 'instructorData': {'rating': -1, 'difficulty': -1}, 'type': 'IND', 'location': 'CAS 214', 'schedule': 'MWF 10:10 am-11:00 am', 'availability': False}}",['Maryanne Boelcskevy']
CAS AA 112,"Centers Black experiences, cultures, knowledge production and identity   formation in the United States and in the African Diaspora across time and   space. Examines and traces the genealogies of Black Studies as a discipline:   its political, ideological, and practical foundations on college campuses  and  in communities. Also explores earlier traditions and contemporary work  in Black  radical thought and activism that lay the groundwork for and build  on the  founding principles of Black Studies by mobilizing an intersectional  and  diasporic lens.  Effective Fall 2020, this course fulfills a single  unit in each of the following BU Hub areas: Historical Consciousness, Social  Inquiry I, Research and Information Literacy.",Black Power in the Classroom: The History of Black Studies,,[  4 cr.],"['Historical Consciousness', 'Social Inquiry I', 'Research and Information Literacy', 'BU Hub Pathway:\xa0\xa0Social & Racial Justice']","{'A1': {'instructor': 'Aminah Pilgrim', 'instructorData': {'rating': 4.3, 'difficulty': 2.2}, 'type': 'IND', 'location': 'SOC B63', 'schedule': 'TR 12:30 pm-1:45 pm', 'availability': False}}",['Aminah Pilgrim']
CAS AA 207,"Examines the fundamental theoretical and empirical approaches regarding  race/ethnicity and the current state of race relations in the U.S. that explore  both contemporary social problems. Effective Fall 2019,  this  course  fulfills a  single unit in each of the following BU Hub areas:   Historical  Consciousness,  The Individual in Community, Research and  Information  Literacy. ",Sociology of Race and Ethnicity,,[  4 cr.],"['Historical Consciousness', 'The Individual in Community', 'Research and Information Literacy', 'BU Hub Pathway:\xa0\xa0Social & Racial Justice']","{'A1': {'instructor': 'Saida Grundy', 'instructorData': {'rating': 4.7, 'difficulty': 3.0}, 'type': 'LEC', 'location': 'FLR 205', 'schedule': 'TR 9:30 am-10:45 am', 'availability': False}, 'A2': {'instructor': 'Saida Grundy', 'instructorData': {'rating': 4.7, 'difficulty': 3.0}, 'type': 'DIS', 'location': 'CAS 320', 'schedule': 'W 9:05 am-9:55 am', 'availability': False}, 'A3': {'instructor': 'Saida Grundy', 'instructorData': {'rating': 4.7, 'difficulty': 3.0}, 'type': 'DIS', 'location': 'FLR 122', 'schedule': 'W 10:10 am-11:00 am', 'availability': False}, 'A4': {'instructor': 'Saida Grundy', 'instructorData': {'rating': 4.7, 'difficulty': 3.0}, 'type': 'DIS', 'location': 'PSY B37', 'schedule': 'W 12:20 pm-1:10 pm', 'availability': False}}",['Saida Grundy']
CAS AA 215,"Exploration of a diversity of visual and performing arts from Africa,    including  royal regalia,  masquerades, and contemporary painting. Examines    how the  dispersal of Africans, due to the  transatlantic slave trade and    immigration,  contributed to the cultural richness of the Americas. Effective  Fall 2019, this   course  fulfills a single unit in each of the following BU Hub  areas:   Aesthetic   Exploration, Global Citizenship and Intercultural Literacy,   Critical  Thinking. ",Arts of Africa and Its Diaspora,,[  4 cr.],"['Aesthetic Exploration', 'Global Citizenship and Intercultural Literacy', 'Critical Thinking', 'BU Hub Pathway:\xa0\xa0Social & Racial Justice']","{'A1': {'instructor': 'Sarah Clunis', 'instructorData': {'rating': 3.2, 'difficulty': 3.7}, 'type': 'IND', 'location': 'SOC B63', 'schedule': 'TR 5:00 pm-6:15 pm', 'availability': False}}",['Sarah Clunis']
CAS AA 234,"A study of how chattel slavery in the Americas led to racialization as a  primary  tool in the creation of American society and New World capitalism.   Effective Fall 2020, this course fulfills a single unit in each of the  following BU Hub areas: Ethical Reasoning, Global Citizenship and  Intercultural Literacy, Critical Thinking.",African Americans in Global Perspective: Slavery and the Creation of Race,,[  4 cr.],"['Global Citizenship and Intercultural Literacy', 'Ethical Reasoning', 'Critical Thinking', 'BU Hub Pathway:\xa0\xa0Social & Racial Justice']","{'A1': {'instructor': 'Joyce Scott', 'instructorData': {'rating': 3.4, 'difficulty': 3.4}, 'type': 'IND', 'location': 'AAS 102', 'schedule': 'TR 9:30 am-10:45 am', 'availability': True}}",['Joyce Scott']
CAS AA 296,"Uses digital media studies to explore diverse religious expressions in hip  hop  culture. Through critical reading, community field trips, and hands-on   technology usage, students consider an often overlooked element in the study   of hip hop culture: religion. Effective Fall 2020, this course fulfills a  single unit in each of the following BU Hub areas: Digital/Multimedia  Expression, Aesthetic Exploration, Creativity/Innovation.",Religion and Hip Hop,,[  4 cr.],"['Aesthetic Exploration', 'Digital/Multimedia Expression', 'Creativity/Innovation', 'BU Hub Pathway:\xa0\xa0Social & Racial Justice']","{'A1': {'instructor': 'Margarita Guillory', 'instructorData': {'rating': 5.0, 'difficulty': 3.5}, 'type': 'IND', 'location': 'CAS 326', 'schedule': 'TR 9:30 am-10:45 am', 'availability': False}}",['Margarita Guillory']
CAS AA 308,"Combining research from history, political science, sociology, and economics,  this course examines the role of race and ethnicity in shaping American  politics and policy. Effective Fall 2019, this course fulfills a single unit  in each of the following BU Hub areas: Social Inquiry II, Ethical Reasoning,  Critical Thinking.",Race and Politics,,[  4 cr.],"['Ethical Reasoning', 'Social Inquiry II', 'Critical Thinking', 'BU Hub Pathway:\xa0\xa0Social & Racial Justice']","{'A1': {'instructor': nan, 'instructorData': None, 'type': 'IND', 'location': 'CAS B36', 'schedule': 'MWF 10:10 am-11:00 am', 'availability': False}}",[nan]
CAS AA 310,"This course examines the U.S. Civil Rights and the struggle for black  freedom movements. From the late nineteenth century through the twenty-first  century, we consider events, organizations, ""leaders"" and organizers, legal  campaigns, and political protests to answer the questions: What were the  race, class, and gender dynamics within the movements? What were the  changing definitions of freedom? The course treats the movement's roots,  goals, ideologies, and cultures, and includes a comparison of the struggles  for equal rights of Mexican Americans, Native Americans, LGBT folks, and  other groups.  Effective Spring 2021, this course fulfills a single unit in  each of the following BU Hub areas: The Individual in Community, Historical  Consciousness, Teamwork/Collaboration.",Civil Rights History,,[  4 cr.],"['Historical Consciousness', 'The Individual in Community', 'Teamwork/Collaboration', 'BU Hub Pathway:\xa0\xa0Social & Racial Justice']","{'A1': {'instructor': 'Aminah Pilgrim', 'instructorData': {'rating': 5.0, 'difficulty': 2.0}, 'type': 'IND', 'location': 'CAS B36', 'schedule': 'TR 11:00 am-12:15 pm', 'availability': False}}",['Aminah Pilgrim']
CAS AA 335,"No one of us is one thing, one identity, nor motivated by one singular interest,  nor privileged or subjugated by one singular form of power, but how do those  multiple forms of ourselves affect how we are advantaged, disadvantaged, viewed,  and understood by the social world? Our social world, is, by default, a vast web  of social intersections between and across groups with shared, overlapping, and  conflicting identities. Race, class and gender affect nearly all of our lived  experiences and greatly complicate and nuance concepts of diversity and  difference. Effective Fall 2020, this course   fulfills a single unit in each of  the following BU Hub areas:   Digital/Multimedia Expression , The Individual in  Community, Historical   Consciousness.","Sociology of Race, Class & Gender","Prereq: At least one prior 100- or 200-level sociology course, or CAS WS 101/102.",[  4 cr.],"['Historical Consciousness', 'The Individual in Community', 'Digital/Multimedia Expression', 'BU Hub Pathway:\xa0\xa0Social & Racial Justice']","{'A1': {'instructor': 'Saida Grundy', 'instructorData': {'rating': 4.7, 'difficulty': 3.0}, 'type': 'IND', 'location': 'PSY B53', 'schedule': 'T 12:30 pm-3:15 pm', 'availability': False}}",['Saida Grundy']
CAS AA 356,"How has technology impacted religion? This hands-on course explores how digital  technologies like the Internet, social media, gaming, and artificial intelligence  have changed the way that people think about religion.  Effective Spring 2022,  this course fulfills a single unit in each of the following BU Hub areas:  Digital/Multimedia Expression, Writing-Intensive Course, Creativity/Innovation.",Religion in the Digital Age,Prereq: First-Year Writing Seminar (CAS WR 120 or equivalent),[  4 cr.],"['Digital/Multimedia Expression', 'Creativity/Innovation', 'Writing-Intensive Course']","{'A1': {'instructor': 'Margarita Guillory', 'instructorData': {'rating': 5.0, 'difficulty': 3.5}, 'type': 'IND', 'location': 'CAS 228', 'schedule': 'TR 12:30 pm-1:45 pm', 'availability': False}}",['Margarita Guillory']
